Epoch 48: duration loss = 1.008 | prior loss = 1.396 | diffusion loss = 0.111
Epoch 49: duration loss = 1.006 | prior loss = 1.394 | diffusion loss = 0.108
Epoch 50: duration loss = 1.003 | prior loss = 1.392 | diffusion loss = 0.107
Epoch 51: duration loss = 1.000 | prior loss = 1.392 | diffusion loss = 0.107
Epoch 52: duration loss = 0.998 | prior loss = 1.391 | diffusion loss = 0.108
Epoch 53: duration loss = 0.996 | prior loss = 1.389 | diffusion loss = 0.109
Epoch 54: duration loss = 0.991 | prior loss = 1.389 | diffusion loss = 0.107
Epoch 55: duration loss = 0.992 | prior loss = 1.388 | diffusion loss = 0.107
Epoch 56: duration loss = 0.989 | prior loss = 1.386 | diffusion loss = 0.109
Epoch 57: duration loss = 0.986 | prior loss = 1.384 | diffusion loss = 0.108
Epoch 58: duration loss = 0.983 | prior loss = 1.384 | diffusion loss = 0.107
Epoch 59: duration loss = 0.981 | prior loss = 1.382 | diffusion loss = 0.110
Epoch 60: duration loss = 0.979 | prior loss = 1.382 | diffusion loss = 0.110
Epoch 61: duration loss = 0.976 | prior loss = 1.382 | diffusion loss = 0.106
Epoch 62: duration loss = 0.976 | prior loss = 1.380 | diffusion loss = 0.110
Epoch 63: duration loss = 0.975 | prior loss = 1.380 | diffusion loss = 0.108
Epoch 64: duration loss = 0.973 | prior loss = 1.378 | diffusion loss = 0.111
Epoch 65: duration loss = 0.969 | prior loss = 1.377 | diffusion loss = 0.107
Epoch 66: duration loss = 0.968 | prior loss = 1.377 | diffusion loss = 0.106
Epoch 67: duration loss = 0.966 | prior loss = 1.376 | diffusion loss = 0.105
Epoch 68: duration loss = 0.965 | prior loss = 1.375 | diffusion loss = 0.106
Epoch 69: duration loss = 0.962 | prior loss = 1.374 | diffusion loss = 0.110
Epoch 70: duration loss = 0.963 | prior loss = 1.374 | diffusion loss = 0.106
Epoch 71: duration loss = 0.959 | prior loss = 1.373 | diffusion loss = 0.108
Epoch 72: duration loss = 0.957 | prior loss = 1.372 | diffusion loss = 0.108
Epoch 73: duration loss = 0.956 | prior loss = 1.371 | diffusion loss = 0.106
Epoch 74: duration loss = 0.954 | prior loss = 1.371 | diffusion loss = 0.108
Epoch 75: duration loss = 0.953 | prior loss = 1.369 | diffusion loss = 0.109
Epoch 76: duration loss = 0.951 | prior loss = 1.370 | diffusion loss = 0.107
Epoch 77: duration loss = 0.950 | prior loss = 1.370 | diffusion loss = 0.103
Epoch 78: duration loss = 0.948 | prior loss = 1.368 | diffusion loss = 0.108
Epoch 79: duration loss = 0.947 | prior loss = 1.368 | diffusion loss = 0.104
Epoch 80: duration loss = 0.946 | prior loss = 1.367 | diffusion loss = 0.107
Epoch 81: duration loss = 0.945 | prior loss = 1.367 | diffusion loss = 0.106
Epoch 82: duration loss = 0.943 | prior loss = 1.366 | diffusion loss = 0.104
Epoch 83: duration loss = 0.943 | prior loss = 1.367 | diffusion loss = 0.108
Epoch 84: duration loss = 0.940 | prior loss = 1.363 | diffusion loss = 0.104
Epoch 85: duration loss = 0.938 | prior loss = 1.364 | diffusion loss = 0.105
Epoch 86: duration loss = 0.938 | prior loss = 1.364 | diffusion loss = 0.107
